,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 3. Indices of total farm output by State, 1960-2004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See average annual change for different time periods at the bottom of this table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Indices are relative to Alabama in 1996 = 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,0.5668,0.6085,0.4063,3.3565,0.6274,0.1205,0.0889,0.8115,0.7119,2.8691,0.4713,2.0900,1.1926,1.3509,0.6772,0.3159,0.1586,0.2653,0.1615,0.8521,1.8182,1.2814,0.6156,0.4086,1.0808,0.6278,1.3339,0.0547,0.2913,0.2268,0.0549,1.0470,1.1778,0.8314,0.4206,0.8766,0.0190,0.3862,0.8235,0.6198,2.2307,0.1885,0.5463,0.1571,0.5693,1.6851,0.1393,0.1755
1961,0.5765,0.6561,0.4236,3.3836,0.6363,0.1191,0.0867,0.8756,0.7621,2.9787,0.5004,2.1441,1.1894,1.3667,0.7308,0.3254,0.1557,0.2657,0.1743,0.8963,1.8957,1.3055,0.6624,0.3547,1.0994,0.4852,1.3145,0.0556,0.2770,0.2333,0.0524,1.0757,1.1700,0.8108,0.4338,0.8895,0.0187,0.3974,0.7932,0.6418,2.2370,0.1871,0.5628,0.1620,0.5761,1.7360,0.1363,0.1763
1962,0.5604,0.6731,0.4392,3.5495,0.6212,0.1168,0.0865,0.9719,0.7421,2.9869,0.5288,2.1843,1.2265,1.3114,0.7283,0.3409,0.1548,0.2690,0.1754,0.9003,1.7694,1.2508,0.6601,0.4309,1.1417,0.7527,1.3634,0.0544,0.2769,0.2464,0.0578,1.0510,1.1774,0.7242,0.4572,0.8394,0.0191,0.4088,0.8547,0.6172,2.1889,0.1975,0.5653,0.1588,0.6061,1.7720,0.1290,0.1807
1963,0.6288,0.7117,0.4559,3.5883,0.6260,0.1183,0.0916,0.8532,0.8442,3.2091,0.5503,2.2805,1.2853,1.3163,0.7705,0.3762,0.1528,0.2702,0.1799,0.9073,1.9349,1.3501,0.7595,0.4634,1.1709,0.6995,1.3916,0.0541,0.2617,0.2554,0.0599,1.0784,1.2121,0.7349,0.4600,0.8579,0.0189,0.4094,0.8948,0.6555,2.3235,0.1971,0.5008,0.1575,0.6409,1.7240,0.1230,0.2003
1964,0.6314,0.7517,0.4292,3.6871,0.6235,0.1175,0.0902,0.8508,0.8278,3.2115,0.5460,2.1810,1.1761,1.2692,0.8157,0.3738,0.1473,0.2742,0.1792,0.9466,1.8176,1.2891,0.7818,0.4641,1.2103,0.7110,1.3560,0.0514,0.2477,0.2300,0.0608,1.0594,1.1678,0.7515,0.4630,0.8591,0.0183,0.4040,0.8302,0.6837,2.2159,0.1932,0.5369,0.1565,0.6587,1.7165,0.1224,0.1968
1965,0.6643,0.8145,0.4602,3.6855,0.6213,0.1189,0.1002,0.9743,0.8739,3.1501,0.5452,2.3400,1.2316,1.3680,0.7482,0.3908,0.1434,0.2944,0.1740,0.8724,1.7931,1.3551,0.7578,0.4940,1.1144,0.7736,1.4025,0.0525,0.2511,0.2445,0.0672,1.0805,1.1749,0.8508,0.4706,0.8736,0.0175,0.4113,0.8937,0.6678,2.3917,0.1970,0.5337,0.1519,0.6599,1.7089,0.1175,0.1927
1966,0.6244,0.7641,0.4557,3.8480,0.7067,0.1182,0.0939,1.0361,0.8485,3.3938,0.5390,2.2207,1.1813,1.3541,0.7228,0.4053,0.1426,0.2711,0.1745,0.8577,1.8988,1.3186,0.7351,0.4980,1.1038,0.7307,1.6424,0.0550,0.2284,0.2733,0.0646,1.0687,1.2328,0.7856,0.4746,0.8165,0.0172,0.3716,0.9060,0.6241,2.4155,0.1995,0.5052,0.1532,0.6956,1.7498,0.1052,0.1994
1967,0.6010,0.7566,0.4529,3.6392,0.7532,0.1136,0.1106,1.1751,0.9488,3.5446,0.5900,2.4917,1.2348,1.4247,0.8430,0.4293,0.1344,0.3044,0.1749,0.8328,1.9388,1.3608,0.6923,0.5150,1.2162,0.7233,1.6400,0.0514,0.2278,0.2817,0.0683,1.1013,1.1945,0.7754,0.4835,0.9023,0.0160,0.4022,0.9899,0.6082,2.2855,0.2116,0.5379,0.1494,0.7259,1.7493,0.1158,0.2231
