Renewable Energy Trends in Consumption and Electricity 2008,,,,,,,,,,,,,,,,,,,,
Release Date: August 2010,,,,,,,,,,,,,,,,,,,,
Next Release Date: August 2011,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Table 1.5 Historical Renewable Energy Consumption by Sector and Energy Source, 1989-2008",,,,,,,,,,,,,,,,,,,,
(Quadrillion Btu),,,,,,,,,,,,,,,,,,,,
Sector and Source,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
,,,,,,,,,,,,,,,,,,,,
Total,6.391,6.206,6.238,5.992,6.261,6.153,6.703,7.166,7.175,6.654,6.677,6.26,5.311,5.888,6.141,6.247,6.407,6.825,6.719,7.367
  Biomass,3.159,2.735,2.782,2.932,2.908,3.028,3.101,3.157,3.105,2.928,2.963,3.008,2.622,2.701,2.807,3.01,3.117,3.277,3.503,3.852
    Biofuels1,0.125,0.111,0.128,0.145,0.169,0.188,0.2,0.143,0.184,0.201,0.209,0.236,0.253,0.303,0.404,0.5,0.577,0.771,0.991,1.372
    Waste2,0.354,0.408,0.44,0.473,0.479,0.515,0.531,0.577,0.551,0.542,0.54,0.511,0.364,0.402,0.401,0.389,0.403,0.397,0.413,0.436
    Wood and Derived Fuels3,2.68,2.216,2.214,2.313,2.26,2.324,2.37,2.437,2.371,2.184,2.214,2.262,2.006,1.995,2.002,2.121,2.136,2.109,2.098,2.044
  Geothermal,0.317,0.336,0.346,0.349,0.364,0.338,0.294,0.316,0.325,0.328,0.331,0.317,0.311,0.328,0.331,0.341,0.343,0.343,0.349,0.36
  Hydroelectric Conventional,2.837,3.046,3.016,2.617,2.892,2.683,3.205,3.59,3.64,3.297,3.268,2.811,2.242,2.689,2.825,2.69,2.703,2.869,2.446,2.512
  Solar Thermal/PV4,0.055,0.06,0.063,0.064,0.066,0.069,0.07,0.071,0.07,0.07,0.069,0.066,0.065,0.064,0.064,0.065,0.066,0.072,0.081,0.097
  Wind,0.022,0.029,0.031,0.03,0.031,0.036,0.033,0.033,0.034,0.031,0.046,0.057,0.07,0.105,0.115,0.142,0.178,0.264,0.341,0.546
,,,,,,,,,,,,,,,,,,,,
Residential,0.978,0.641,0.674,0.706,0.618,0.59,0.591,0.612,0.503,0.452,0.462,0.49,0.439,0.449,0.471,0.483,0.507,0.475,0.527,0.565
  Biomass,0.92,0.58,0.61,0.64,0.55,0.52,0.52,0.54,0.43,0.38,0.39,0.42,0.37,0.38,0.4,0.41,0.43,0.39,0.43,0.45
    Wood and Derived Fuels,0.92,0.58,0.61,0.64,0.55,0.52,0.52,0.54,0.43,0.38,0.39,0.42,0.37,0.38,0.4,0.41,0.43,0.39,0.43,0.45
  Geothermal,0.005,0.006,0.006,0.006,0.007,0.006,0.007,0.007,0.008,0.008,0.009,0.009,0.009,0.01,0.013,0.014,0.016,0.018,0.022,0.026
  Solar Thermal/PV4,0.053,0.056,0.058,0.06,0.062,0.064,0.065,0.065,0.065,0.065,0.064,0.061,0.06,0.059,0.058,0.059,0.061,0.067,0.075,0.088
,,,,,,,,,,,,,,,,,,,,
Commercial,0.102,0.098,0.1,0.109,0.114,0.112,0.118,0.135,0.138,0.127,0.129,0.128,0.101,0.104,0.113,0.118,0.119,0.117,0.118,0.125
  Biomass,0.099,0.094,0.095,0.105,0.109,0.106,0.113,0.129,0.131,0.118,0.121,0.119,0.092,0.095,0.101,0.105,0.105,0.102,0.102,0.109
    Biofuels5,0.001,*,*,*,*,*,*,*,*,*,*,*,*,*,0.001,0.001,0.001,0.001,0.002,0.002
    Waste2,0.022,0.028,0.026,0.032,0.033,0.035,0.04,0.053,0.058,0.054,0.054,0.047,0.025,0.026,0.029,0.034,0.034,0.036,0.031,0.034
    Wood and Derived Fuels3,0.076,0.066,0.068,0.072,0.076,0.072,0.072,0.076,0.073,0.064,0.067,0.071,0.067,0.069,0.071,0.07,0.07,0.065,0.069,0.073
  Geothermal,0.003,0.003,0.003,0.003,0.003,0.004,0.005,0.005,0.006,0.007,0.007,0.008,0.008,0.009,0.011,0.012,0.014,0.014,0.014,0.015
  Hydroelectric Conventional,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,*,0.001,0.001,0.001,0.001,0.001,0.001
  Solar Thermal/PV,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*
,,,,,,,,,,,,,,,,,,,,
Industrial,1.871,1.717,1.684,1.737,1.773,1.927,1.992,2.033,2.057,1.929,1.934,1.928,1.719,1.72,1.726,1.853,1.873,1.93,1.964,2.053
  Biomass,1.841,1.684,1.652,1.705,1.741,1.862,1.934,1.969,1.996,1.872,1.882,1.881,1.681,1.676,1.679,1.817,1.837,1.897,1.944,2.031
    Biofuels6,0.057,0.05,0.057,0.065,0.075,0.083,0.087,0.062,0.081,0.088,0.091,0.1,0.11,0.133,0.173,0.209,0.237,0.295,0.387,0.544
    Waste2,0.2,0.192,0.185,0.179,0.181,0.199,0.195,0.224,0.184,0.18,0.171,0.145,0.129,0.146,0.142,0.132,0.148,0.13,0.144,0.144
    Wood and Derived Fuels3,1.584,1.442,1.41,1.461,1.484,1.58,1.652,1.683,1.731,1.603,1.62,1.636,1.443,1.396,1.363,1.476,1.452,1.472,1.413,1.344
  Geothermal,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.005,0.005,0.003,0.004,0.004,0.004,0.005,0.005
  Hydroelectric Conventional,0.028,0.031,0.03,0.031,0.03,0.062,0.055,0.061,0.058,0.055,0.049,0.042,0.033,0.039,0.043,0.033,0.032,0.029,0.016,0.017
  Solar Thermal/PV,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Wind,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
Transportation,0.068,0.06,0.07,0.08,0.094,0.105,0.113,0.081,0.102,0.113,0.118,0.135,0.142,0.17,0.23,0.29,0.339,0.475,0.603,0.827
  Biomass,0.068,0.06,0.07,0.08,0.094,0.105,0.113,0.081,0.102,0.113,0.118,0.135,0.142,0.17,0.23,0.29,0.339,0.475,0.603,0.827
    Biofuels7,0.068,0.06,0.07,0.08,0.094,0.105,0.113,0.081,0.102,0.113,0.118,0.135,0.142,0.17,0.23,0.29,0.339,0.475,0.603,0.827
,,,,,,,,,,,,,,,,,,,,
Electric Power8,3.372,3.689,3.71,3.36,3.662,3.42,3.889,4.305,4.375,4.032,4.034,3.579,2.91,3.445,3.601,3.503,3.568,3.827,3.508,3.798
,,,,,,,,,,,,,,,,,,,,
Electric Utilities,2.983,3.151,3.114,2.712,2.953,2.714,3.173,3.553,3.62,3.279,3.123,2.607,2.063,2.529,2.615,2.522,2.53,2.688,2.356,2.404
  Biomass,0.02,0.022,0.021,0.022,0.021,0.021,0.017,0.02,0.02,0.021,0.02,0.021,0.014,0.033,0.029,0.031,0.04,0.042,0.048,0.047
    Waste2,0.01,0.013,0.014,0.013,0.011,0.013,0.01,0.012,0.013,0.013,0.013,0.014,0.008,0.022,0.012,0.011,0.013,0.015,0.016,0.018
    Wood and Derived Fuels3,0.01,0.008,0.008,0.008,0.009,0.008,0.007,0.008,0.008,0.007,0.007,0.007,0.006,0.011,0.017,0.02,0.027,0.027,0.032,0.029
  Geothermal,0.197,0.181,0.17,0.169,0.158,0.145,0.099,0.11,0.115,0.109,0.036,0.003,0.003,0.029,0.026,0.026,0.024,0.024,0.024,0.025
  Hydroelectric Conventional,2.765,2.948,2.923,2.521,2.774,2.549,3.056,3.423,3.485,3.149,3.067,2.582,2.044,2.465,2.556,2.461,2.455,2.598,2.241,2.263
  Solar Thermal/PV,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
  Wind,*,*,*,*,*,*,*,*,*,*,*,*,0.001,0.002,0.004,0.004,0.01,0.023,0.043,0.068
,,,,,,,,,,,,,,,,,,,,
Independent Power Producers,0.389,0.538,0.596,0.648,0.709,0.705,0.716,0.752,0.754,0.753,0.91,0.972,0.847,0.916,0.986,0.981,1.038,1.139,1.152,1.394
